,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
1,wisconsin,borf_sobolev,2,10,10,0.49215686274509807,0.01704867852492875,18.815125942230225,1.625319480895996
0,cornell,borf_sobolev,2,10,10,0.45675675675675675,0.03856445185240425,24.18936586380005,0.4107980728149414
1,wisconsin,borf_sobolev,2,10,10,0.49215686274509807,0.01704867852492875,18.815125942230225,1.625319480895996
2,texas,borf_sobolev,2,10,10,0.5135135135135135,0.03243243243243242,22.585784673690796,0.6672272682189941
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
1,wisconsin,borf_sobolev,1,50,10,0.49411764705882344,0.022044657760870893,45.64478588104248,0.9262778759002686
2,texas,borf_sobolev,1,50,10,0.508108108108108,0.030385879616335557,51.02875804901123,0.3358638286590576
3,chameleon,borf_sobolev,1,50,10,0.6133771929824562,0.011555165636104425,109.2698302268982,2684.6169011592865
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
1,wisconsin,borf_sobolev,1,50,10,0.49411764705882344,0.022044657760870893,45.64478588104248,0.9262778759002686
2,texas,borf_sobolev,1,50,10,0.508108108108108,0.030385879616335557,51.02875804901123,0.3358638286590576
3,chameleon,borf_sobolev,1,50,10,0.6133771929824562,0.011555165636104425,109.2698302268982,2684.6169011592865
4,cora,borf_sobolev,1,50,10,0.8715867158671585,0.006867831807605509,23.54351544380188,5.507557392120361
0,cornell,borf_sobolev,1,50,10,0.4756756756756757,0.033496072183415486,42.14130210876465,0.23956966400146484
1,wisconsin,borf_sobolev,1,50,10,0.49411764705882344,0.022044657760870893,45.64478588104248,0.9262778759002686
2,texas,borf_sobolev,1,50,10,0.508108108108108,0.030385879616335557,51.02875804901123,0.3358638286590576
3,chameleon,borf_sobolev,1,50,10,0.6133771929824562,0.011555165636104425,109.2698302268982,2684.6169011592865
4,cora,borf_sobolev,1,50,10,0.8715867158671585,0.006867831807605509,23.54351544380188,5.507557392120361
5,citeseer,borf_sobolev,1,50,10,0.7292792792792792,0.007561964654477152,23.690966844558716,1.8976109027862549
0,cornell,borf_sobolev,2,50,10,0.47027027027027024,0.03837457156605155,22.6119487285614,0.3799166679382324
0,cornell,borf_sobolev,2,50,10,0.47027027027027024,0.03837457156605155,22.6119487285614,0.3799166679382324
1,wisconsin,borf_sobolev,2,50,10,0.5392156862745099,0.05150559033946548,18.35023260116577,1.6100776195526123
0,cornell,borf_sobolev,2,50,10,0.47027027027027024,0.03837457156605155,22.6119487285614,0.3799166679382324
1,wisconsin,borf_sobolev,2,50,10,0.5392156862745099,0.05150559033946548,18.35023260116577,1.6100776195526123
2,texas,borf_sobolev,2,50,10,0.5027027027027028,0.030768106963800435,17.307451725006104,0.6773488521575928
